Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Latitude,Longitude
1870840,"December 5, 2020",North Carolina,Autryville,10101 Gip Rd,0,6,34.922166,-78.62882
1869748,"December 4, 2020",Illinois,Chicago,4400 block of W Adams St,0,4,41.878113,-87.73608899999999
1867006,"December 1, 2020",Pennsylvania,Morrisville,1 Makefield Rd,1,3,40.1971928,-74.8163511
1866100,"November 30, 2020",Alaska,Palmer,335 N Valley Way,4,0,61.6096222,-149.1080032
1864683,"November 29, 2020",Mississippi,Grenada,Highway 8 East,0,11,33.7690722,-89.80840549999999
1865110,"November 29, 2020",Tennessee,Memphis,3492 W Metropolitan Cir,2,3,35.0531554,-89.9407189
1863726,"November 28, 2020",South Carolina,Aiken,1695 Richland Ave E,1,10,33.55217750000001,-81.69678019999999
1864205,"November 28, 2020",South Carolina,Conway,3800 block of Golden Key Rd,0,5,33.9272726,-79.0373499
1864177,"November 28, 2020",Louisiana,New Orleans,7001 Lawrence Rd,0,4,30.0302837,-89.9961143
1862947,"November 27, 2020",Georgia,Macon,425 Cherry St,1,5,32.8353724,-83.62617569999999
1863099,"November 27, 2020",Ohio,Toledo,3257 Stickney Ave,0,6,41.682713,-83.527114
1862603,"November 26, 2020",Nevada,Henderson,870 E Lake Mead Pkwy,1,5,36.0542619,-114.9676079
1859110,"November 22, 2020",New Jersey,Trenton,Stuyvesant Ave and Hoffman Ave,0,4,40.234874,-74.781331
1859390,"November 22, 2020",New York,Brooklyn,15 Albany Ave,1,6,40.680288,-73.938125
1858455,"November 22, 2020",Illinois,Chicago,700 block of E 101st St,1,3,41.7110837,-87.6053773
1859186,"November 22, 2020",Louisiana,New Orleans,9232 Chef Menteur Hwy,1,3,30.0157568,-89.9779367
1857439,"November 21, 2020",Illinois,Chicago,W 79th St and S Justine St,0,6,41.7503653,-87.66223
1857947,"November 21, 2020",Arizona,Phoenix,35th Ave and Earll Dr,1,4,33.4840608,-112.1343537
1858965,"November 21, 2020",Nebraska,Bellevue,1307 Cornhusker Rd,2,2,41.1580153,-95.93415999999999
1857040,"November 20, 2020",Wisconsin,Milwaukee (Wauwatosa),2500 N Mayfair Rd,0,8,43.06383530000001,-88.0445613
1856417,"November 19, 2020",Florida,Haines City,422 N 15th St,1,3,28.1136448,-81.6197664
1855276,"November 18, 2020",Texas,Houston,11614 Manor Park Dr,3,2,29.7484157,-95.5825078
1856338,"November 18, 2020",South Carolina,Florence,500 block of Gaillard St,0,4,34.1903663,-79.75688439999999
1854207,"November 17, 2020",Tennessee,Jackson,Honey Bear Cove,0,4,35.6542734,-88.8660921
1854149,"November 16, 2020",Florida,Miami,200 block of S Biscayne River Dr,0,4,25.9136509,-80.2039167
1853615,"November 16, 2020",Illinois,Chicago,700 block of S Pulaski Rd,0,4,41.8724081,-87.7256253
1854076,"November 16, 2020",Illinois,Chicago,2700 block of S State St,0,4,41.8443137,-87.6269348
1852831,"November 15, 2020",Louisiana,Shreveport,300 block of Douglas St,0,5,32.5113849,-93.7554916
1853089,"November 15, 2020",Georgia,Riverdale,Museum Cir,2,2,33.5428175,-84.370997
1852604,"November 14, 2020",South Carolina,Sumter,1008 Marilyn Ave,3,1,33.94728,-80.34737609999999
1852853,"November 14, 2020",Missouri,Fulton,1915 N Bluff St,0,4,38.8680365,-91.9448195
1852161,"November 14, 2020",Ohio,Cincinnati,400 block of Kings Run Dr,0,4,39.176421,-84.509031
1852363,"November 14, 2020",California,Riverside,La Sierra Avenue and Tin Mine Road,2,3,33.8524585,-117.4627322
1850981,"November 12, 2020",Florida,Tampa,1200 block of E Palifox St,2,4,27.9873252,-82.44701309999999
1850693,"November 12, 2020",North Carolina,Gastonia,1225 Union Rd,0,6,35.2471617,-81.1745345
1849308,"November 10, 2020",Florida,Tampa,N 50th St and Sligh Ave,1,7,28.0106992,-82.4019225
1847840,"November 9, 2020",Texas,Fort Worth,5310 E Rosedale St,0,4,32.7304501,-97.2416714
1846712,"November 8, 2020",Virginia,Virginia Beach,3700 block of Whitney Ct,0,4,36.7976045,-76.1057833
1846494,"November 8, 2020",Tennessee,Nashville,2nd Ave N and Commerce St,0,8,36.1632454,-86.7760574
1846764,"November 7, 2020",Kansas,Ogden,225 Riley Ave,0,4,39.1165137,-96.7099975
1845690,"November 7, 2020",South Carolina,Rock Hill,241 Albright Rd,1,3,34.9131297,-81.0083647
1845477,"November 6, 2020",Louisiana,New Orleans,8622 Belfast St,2,2,29.96179,-90.12301599999999
1844573,"November 5, 2020",Ohio,Toledo,2125 Parkwood Ave,3,2,41.6629005,-83.5577247
1843360,"November 4, 2020",Missouri,Jefferson City,1299 Lafayette St,0,4,38.5615261,-92.1753258
1842362,"November 3, 2020",Nevada,Henderson,1445 Stonelake Cove Ave,4,1,36.0354601,-115.0488233
1842421,"November 2, 2020",Ohio,Mansfield,136 Sturges Ave,0,5,40.7550142,-82.5242701
1840534,"November 1, 2020",South Carolina,Hollywood,7800 block of White Point Rd,0,6,32.6536039,-80.32512609999999
1840265,"November 1, 2020",Indiana,Evansville,664 E Illinois St,0,4,37.979329,-87.554693
1840364,"November 1, 2020",Oklahoma,Oklahoma City,10601 S Western Ave,1,3,35.3621154,-97.53098279999999
1841432,"November 1, 2020",North Carolina,Winston Salem (Winston-salem),3900 block of Glen Hi Rd,1,3,36.0623367,-80.15319459999999
1840600,"November 1, 2020",Arizona,Tucson,2500 block of E Aerospace Parkway,2,2,32.0854783,-110.9481184
1840310,"November 1, 2020",New Jersey,Atlantic City,2721 Arctic Ave,1,4,39.3568472,-74.4464488
1839628,"October 31, 2020",California,Sacramento,2800 block of Normington Dr,0,4,38.6157093,-121.4800287
1839576,"October 31, 2020",Washington,Sumner,127th Ave E and Valley Ave E,0,5,47.2040035,-122.2602684
1839462,"October 31, 2020",California,Anaheim,1210 S State College Blvd,0,4,33.8172318,-117.8888389
1840544,"October 31, 2020",Nevada,North Las Vegas,3700 block of Iverson Ln,0,4,36.2265835,-115.171399
1840041,"October 31, 2020",Maryland,College Park,7700 Baltimore Ave,0,7,38.9856555,-76.9370701
1839112,"October 30, 2020",Maryland,Waldorf,2177 Crain Hwy,1,3,38.6524599,-76.88204979999999
1839065,"October 30, 2020",Illinois,Chicago,11613 S Vincennes Ave,1,3,41.682901,-87.668359
1838368,"October 29, 2020",Florida,Winter Garden,Center St and 11th St,0,4,28.5724971,-81.5818406
1837146,"October 28, 2020",Virginia,Roanoke,1400 block of Rorer Ave SW,0,4,37.2737252,-79.96458899999999
1837429,"October 28, 2020",New Jersey,Newark,381 S 6th St,1,3,40.7344465,-74.1991984
1834216,"October 25, 2020",Texas,Fort Worth,1900 block of Carver Ave,2,3,32.7728219,-97.3218904
1835030,"October 25, 2020",Texas,San Antonio,2800 block of W Hutchins Pl,1,3,29.3447716,-98.5504716
1834280,"October 25, 2020",North Carolina,Raleigh,1731 Trawick Rd,1,3,35.800739,-78.5782392
1834617,"October 24, 2020",Mississippi,Greenwood,W Martin Luther King Dr,2,8,33.509886,-90.1769729
1832014,"October 22, 2020",Florida,Miami,1830 NW 50 St,1,3,25.8204486,-80.22696839999999
1832977,"October 22, 2020",Louisiana,Rayne,I-10,0,5,30.2521869,-92.2686104
1831995,"October 22, 2020",Massachusetts,Boston,Columbia Rd and Stanwood St,0,4,42.3070034,-71.0765217
